
Files already downloaded and verified
[42/50][0/79]	Loss_D: 0.9467	Loss_G: 1.1625	D(x): 0.6293	D(G(z)): 0.2256 / 0.3090
[42/50][50/79]	Loss_D: 0.9082	Loss_G: 1.4882	D(x): 0.7080	D(G(z)): 0.2814 / 0.2174
[43/50][0/79]	Loss_D: 0.9614	Loss_G: 1.6784	D(x): 0.7368	D(G(z)): 0.3514 / 0.1782
[43/50][50/79]	Loss_D: 0.9541	Loss_G: 1.4156	D(x): 0.6769	D(G(z)): 0.3033 / 0.2303
[44/50][0/79]	Loss_D: 0.9636	Loss_G: 1.2680	D(x): 0.6982	D(G(z)): 0.3350 / 0.2730
[44/50][50/79]	Loss_D: 1.2875	Loss_G: 0.3772	D(x): 0.3964	D(G(z)): 0.1288 / 0.8221
[45/50][0/79]	Loss_D: 1.3125	Loss_G: 2.1273	D(x): 0.8703	D(G(z)): 0.5923 / 0.1143
[45/50][50/79]	Loss_D: 0.9229	Loss_G: 1.7328	D(x): 0.8034	D(G(z)): 0.3729 / 0.1632
[46/50][0/79]	Loss_D: 1.1799	Loss_G: 2.3366	D(x): 0.8898	D(G(z)): 0.5402 / 0.0955
[46/50][50/79]	Loss_D: 1.1148	Loss_G: 1.0670	D(x): 0.4931	D(G(z)): 0.1500 / 0.3517
[47/50][0/79]	Loss_D: 1.0691	Loss_G: 1.9575	D(x): 0.7738	D(G(z)): 0.4405 / 0.1340
[47/50][50/79]	Loss_D: 0.8890	Loss_G: 1.4752	D(x): 0.7169	D(G(z)): 0.2830 / 0.2168
[48/50][0/79]	Loss_D: 0.8728	Loss_G: 1.5451	D(x): 0.7261	D(G(z)): 0.2649 / 0.2046
[48/50][50/79]	Loss_D: 0.9081	Loss_G: 1.5316	D(x): 0.6533	D(G(z)): 0.2122 / 0.2023
[49/50][0/79]	Loss_D: 1.1605	Loss_G: 1.9810	D(x): 0.7947	D(G(z)): 0.5059 / 0.1332
[49/50][50/79]	Loss_D: 0.9521	Loss_G: 1.1799	D(x): 0.6065	D(G(z)): 0.1964 / 0.3021
[50/50][0/79]	Loss_D: 1.5450	Loss_G: 2.5573	D(x): 0.8491	D(G(z)): 0.6821 / 0.0771
[50/50][50/79]	Loss_D: 0.8747	Loss_G: 1.5293	D(x): 0.7438	D(G(z)): 0.2965 / 0.2007
