
Files already downloaded and verified
[17/30][100/391]	Loss_D: 1.0625	Loss_G: 1.4563	D(x): 0.7059	D(G(z)): 0.4174 / 0.2219
[17/30][150/391]	Loss_D: 1.0362	Loss_G: 0.9175	D(x): 0.5727	D(G(z)): 0.2578 / 0.3982
[17/30][200/391]	Loss_D: 1.2437	Loss_G: 1.7615	D(x): 0.7255	D(G(z)): 0.5422 / 0.1606
[17/30][250/391]	Loss_D: 1.0807	Loss_G: 1.0059	D(x): 0.5485	D(G(z)): 0.2591 / 0.3623
[17/30][300/391]	Loss_D: 1.0331	Loss_G: 1.1020	D(x): 0.5962	D(G(z)): 0.2866 / 0.3263
[17/30][350/391]	Loss_D: 1.2048	Loss_G: 1.6233	D(x): 0.7083	D(G(z)): 0.5127 / 0.1896
[18/30][0/391]	Loss_D: 1.1939	Loss_G: 1.5484	D(x): 0.7337	D(G(z)): 0.5137 / 0.2055
[18/30][50/391]	Loss_D: 1.0901	Loss_G: 1.4333	D(x): 0.6738	D(G(z)): 0.4111 / 0.2261
[18/30][100/391]	Loss_D: 1.0157	Loss_G: 1.7693	D(x): 0.7530	D(G(z)): 0.4201 / 0.1578
[18/30][150/391]	Loss_D: 1.0410	Loss_G: 1.2660	D(x): 0.6689	D(G(z)): 0.3723 / 0.2698
[18/30][200/391]	Loss_D: 1.2664	Loss_G: 1.1441	D(x): 0.6612	D(G(z)): 0.5139 / 0.3207
[18/30][250/391]	Loss_D: 1.1390	Loss_G: 1.8377	D(x): 0.8040	D(G(z)): 0.5178 / 0.1440
[18/30][300/391]	Loss_D: 1.2340	Loss_G: 1.8809	D(x): 0.7630	D(G(z)): 0.5509 / 0.1386
[18/30][350/391]	Loss_D: 1.0983	Loss_G: 1.5648	D(x): 0.7819	D(G(z)): 0.4911 / 0.1935
[19/30][0/391]	Loss_D: 1.0728	Loss_G: 1.2670	D(x): 0.6544	D(G(z)): 0.3845 / 0.2748
[19/30][50/391]	Loss_D: 1.0875	Loss_G: 1.3718	D(x): 0.6788	D(G(z)): 0.4183 / 0.2429
[19/30][100/391]	Loss_D: 1.1580	Loss_G: 1.9228	D(x): 0.7987	D(G(z)): 0.5358 / 0.1304
[19/30][150/391]	Loss_D: 1.6654	Loss_G: 0.6030	D(x): 0.2717	D(G(z)): 0.1129 / 0.5878
[19/30][200/391]	Loss_D: 1.1092	Loss_G: 0.9903	D(x): 0.5639	D(G(z)): 0.3231 / 0.3652
[19/30][250/391]	Loss_D: 1.1019	Loss_G: 1.8985	D(x): 0.7632	D(G(z)): 0.4792 / 0.1370
[19/30][300/391]	Loss_D: 0.9752	Loss_G: 1.7576	D(x): 0.7193	D(G(z)): 0.3595 / 0.1594
[19/30][350/391]	Loss_D: 1.0609	Loss_G: 1.1158	D(x): 0.5818	D(G(z)): 0.2957 / 0.3170
[20/30][0/391]	Loss_D: 1.2313	Loss_G: 0.9912	D(x): 0.4933	D(G(z)): 0.3299 / 0.3683
[20/30][50/391]	Loss_D: 1.1197	Loss_G: 1.2032	D(x): 0.6698	D(G(z)): 0.4354 / 0.2866
[20/30][100/391]	Loss_D: 1.0835	Loss_G: 1.7433	D(x): 0.7559	D(G(z)): 0.4612 / 0.1667
[20/30][150/391]	Loss_D: 0.9529	Loss_G: 1.4951	D(x): 0.6645	D(G(z)): 0.2873 / 0.2162
[20/30][200/391]	Loss_D: 1.2278	Loss_G: 1.2618	D(x): 0.6903	D(G(z)): 0.5089 / 0.2794
[20/30][250/391]	Loss_D: 1.0775	Loss_G: 0.8373	D(x): 0.5587	D(G(z)): 0.2796 / 0.4353
[20/30][300/391]	Loss_D: 1.2184	Loss_G: 0.8912	D(x): 0.4671	D(G(z)): 0.2512 / 0.4157
[20/30][350/391]	Loss_D: 0.9589	Loss_G: 1.5716	D(x): 0.7334	D(G(z)): 0.3569 / 0.1947
[21/30][0/391]	Loss_D: 1.0464	Loss_G: 1.3231	D(x): 0.6713	D(G(z)): 0.3840 / 0.2544
[21/30][50/391]	Loss_D: 1.1973	Loss_G: 0.9344	D(x): 0.4477	D(G(z)): 0.1946 / 0.3966
[21/30][100/391]	Loss_D: 1.2517	Loss_G: 0.6484	D(x): 0.4292	D(G(z)): 0.2264 / 0.5485
[21/30][150/391]	Loss_D: 1.0337	Loss_G: 1.5775	D(x): 0.7237	D(G(z)): 0.4104 / 0.1927
[21/30][200/391]	Loss_D: 1.1161	Loss_G: 1.1019	D(x): 0.6311	D(G(z)): 0.3988 / 0.3240
[21/30][250/391]	Loss_D: 1.0415	Loss_G: 1.3705	D(x): 0.7001	D(G(z)): 0.3965 / 0.2462
[21/30][300/391]	Loss_D: 1.1166	Loss_G: 0.8624	D(x): 0.5080	D(G(z)): 0.2362 / 0.4229
[21/30][350/391]	Loss_D: 1.1764	Loss_G: 1.7732	D(x): 0.7873	D(G(z)): 0.5272 / 0.1598
[22/30][0/391]	Loss_D: 1.1405	Loss_G: 1.0404	D(x): 0.5951	D(G(z)): 0.3768 / 0.3486
[22/30][50/391]	Loss_D: 1.0347	Loss_G: 1.2339	D(x): 0.5728	D(G(z)): 0.2508 / 0.2823
[22/30][100/391]	Loss_D: 1.2695	Loss_G: 1.8250	D(x): 0.8242	D(G(z)): 0.5853 / 0.1514
[22/30][150/391]	Loss_D: 1.0552	Loss_G: 1.5434	D(x): 0.6885	D(G(z)): 0.4014 / 0.2000
[22/30][200/391]	Loss_D: 1.0898	Loss_G: 1.2240	D(x): 0.5298	D(G(z)): 0.2259 / 0.2913
[22/30][250/391]	Loss_D: 1.0657	Loss_G: 1.0405	D(x): 0.5237	D(G(z)): 0.2027 / 0.3493
[22/30][300/391]	Loss_D: 1.0846	Loss_G: 1.0415	D(x): 0.5492	D(G(z)): 0.2667 / 0.3476
[22/30][350/391]	Loss_D: 1.1664	Loss_G: 1.1372	D(x): 0.5795	D(G(z)): 0.3834 / 0.3099
[23/30][0/391]	Loss_D: 1.1733	Loss_G: 0.8718	D(x): 0.4746	D(G(z)): 0.2369 / 0.4207
[23/30][50/391]	Loss_D: 1.1256	Loss_G: 1.1360	D(x): 0.6176	D(G(z)): 0.3818 / 0.3167
[23/30][100/391]	Loss_D: 1.1326	Loss_G: 1.0382	D(x): 0.5912	D(G(z)): 0.3649 / 0.3472
[23/30][150/391]	Loss_D: 1.5827	Loss_G: 0.5059	D(x): 0.3081	D(G(z)): 0.1280 / 0.6656
[23/30][200/391]	Loss_D: 1.0258	Loss_G: 1.5694	D(x): 0.7012	D(G(z)): 0.3947 / 0.1923
[23/30][250/391]	Loss_D: 1.2682	Loss_G: 1.5548	D(x): 0.7432	D(G(z)): 0.5576 / 0.2046
[23/30][300/391]	Loss_D: 0.9791	Loss_G: 1.4103	D(x): 0.6730	D(G(z)): 0.3202 / 0.2357
[23/30][350/391]	Loss_D: 1.1021	Loss_G: 0.8884	D(x): 0.5607	D(G(z)): 0.3088 / 0.4169
[24/30][0/391]	Loss_D: 1.1904	Loss_G: 1.0117	D(x): 0.5297	D(G(z)): 0.3293 / 0.3662
[24/30][50/391]	Loss_D: 1.1319	Loss_G: 1.5360	D(x): 0.7550	D(G(z)): 0.4985 / 0.2009
[24/30][100/391]	Loss_D: 1.0852	Loss_G: 1.1076	D(x): 0.5602	D(G(z)): 0.2915 / 0.3195
[24/30][150/391]	Loss_D: 0.9587	Loss_G: 1.5372	D(x): 0.6889	D(G(z)): 0.3153 / 0.2079
[24/30][200/391]	Loss_D: 1.1051	Loss_G: 1.7442	D(x): 0.6947	D(G(z)): 0.4327 / 0.1665
[24/30][250/391]	Loss_D: 1.0411	Loss_G: 1.2191	D(x): 0.6456	D(G(z)): 0.3523 / 0.2918
[24/30][300/391]	Loss_D: 1.2396	Loss_G: 2.1316	D(x): 0.7805	D(G(z)): 0.5636 / 0.1089
[24/30][350/391]	Loss_D: 1.0225	Loss_G: 1.0237	D(x): 0.6159	D(G(z)): 0.2967 / 0.3582
[25/30][0/391]	Loss_D: 1.1300	Loss_G: 1.3383	D(x): 0.6870	D(G(z)): 0.4527 / 0.2499
[25/30][50/391]	Loss_D: 0.9916	Loss_G: 1.7363	D(x): 0.7125	D(G(z)): 0.3751 / 0.1605
[25/30][100/391]	Loss_D: 1.0487	Loss_G: 1.0065	D(x): 0.5819	D(G(z)): 0.2764 / 0.3627
[25/30][150/391]	Loss_D: 1.1059	Loss_G: 1.4644	D(x): 0.7032	D(G(z)): 0.4407 / 0.2263
[25/30][200/391]	Loss_D: 1.0608	Loss_G: 1.5015	D(x): 0.7442	D(G(z)): 0.4399 / 0.2130
[25/30][250/391]	Loss_D: 1.0809	Loss_G: 1.0403	D(x): 0.5413	D(G(z)): 0.2521 / 0.3504
[25/30][300/391]	Loss_D: 1.2163	Loss_G: 1.9706	D(x): 0.8246	D(G(z)): 0.5673 / 0.1263
[25/30][350/391]	Loss_D: 1.0968	Loss_G: 1.1185	D(x): 0.5754	D(G(z)): 0.3190 / 0.3211
[26/30][0/391]	Loss_D: 1.3301	Loss_G: 0.7976	D(x): 0.4166	D(G(z)): 0.2427 / 0.4754
[26/30][50/391]	Loss_D: 1.1072	Loss_G: 1.0827	D(x): 0.5386	D(G(z)): 0.2740 / 0.3338
[26/30][100/391]	Loss_D: 0.9889	Loss_G: 1.4363	D(x): 0.7192	D(G(z)): 0.3729 / 0.2242
[26/30][150/391]	Loss_D: 1.0196	Loss_G: 0.9127	D(x): 0.6110	D(G(z)): 0.2859 / 0.4012
[26/30][200/391]	Loss_D: 1.0204	Loss_G: 1.2462	D(x): 0.6842	D(G(z)): 0.3592 / 0.2787
[26/30][250/391]	Loss_D: 1.0495	Loss_G: 1.1302	D(x): 0.5795	D(G(z)): 0.2748 / 0.3202
[26/30][300/391]	Loss_D: 1.2418	Loss_G: 1.4715	D(x): 0.6379	D(G(z)): 0.4829 / 0.2192
[26/30][350/391]	Loss_D: 1.0919	Loss_G: 1.3866	D(x): 0.6777	D(G(z)): 0.4261 / 0.2375
[27/30][0/391]	Loss_D: 2.5834	Loss_G: 3.3649	D(x): 0.9262	D(G(z)): 0.8899 / 0.0324
[27/30][50/391]	Loss_D: 1.0254	Loss_G: 1.3213	D(x): 0.6888	D(G(z)): 0.3759 / 0.2578
[27/30][100/391]	Loss_D: 1.0946	Loss_G: 1.7173	D(x): 0.7955	D(G(z)): 0.4873 / 0.1683
[27/30][150/391]	Loss_D: 1.4178	Loss_G: 1.5657	D(x): 0.7614	D(G(z)): 0.5989 / 0.2101
[27/30][200/391]	Loss_D: 1.1474	Loss_G: 1.4741	D(x): 0.7119	D(G(z)): 0.4772 / 0.2216
[27/30][250/391]	Loss_D: 0.9994	Loss_G: 1.1387	D(x): 0.6185	D(G(z)): 0.2803 / 0.3135
[27/30][300/391]	Loss_D: 1.3450	Loss_G: 0.7936	D(x): 0.4185	D(G(z)): 0.2659 / 0.4688
[27/30][350/391]	Loss_D: 1.1612	Loss_G: 1.7696	D(x): 0.7190	D(G(z)): 0.4911 / 0.1583
[28/30][0/391]	Loss_D: 1.0392	Loss_G: 1.5173	D(x): 0.7298	D(G(z)): 0.4170 / 0.2047
